HIP,RAhms,DEdms,Vmag,RA(ICRS),DE(ICRS),Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,e_RAdeg,B-V,e_B-V,V-I,e_V-I,SpT
86776,17 43 55.95,+43 22 48.3,10.49,265.98314449,43.38007697,105.39,1.15,9.48,1.26,-602.62,1.23,1.03,1.528,0.018,2.28,0.13,M3          
47425,09 39 46.78,-41 04 06.3,10.72,144.94490302,-41.06842435,105.34,1.67,-526.08,1.32,356.91,1.34,1.14,1.521,0.007,2.5,0.02,M:          
56452,11 34 29.95,-32 50 00.0,5.96,173.62480364,-32.83334205,104.84,0.81,-670.98,0.76,823.84,0.48,0.63,0.811,0.007,0.88,0.02,K0V         
56997,11 41 03.03,+34 12 09.2,5.31,175.26260484,34.20256022,104.81,0.72,-13.95,0.7,-380.46,0.55,0.64,0.723,0.014,0.78,0.04,G8Vvar      
46655,09 30 44.92,+00 19 26.4,11.71,142.68715327,0.32400295,103.56,3.91,-569.91,4.31,-552.23,2.66,3.77,1.588,0.015,2.57,0.03,K:...       
61629,12 37 53.20,-52 00 05.6,10.65,189.47165252,-52.00155006,103.54,2.1,-1034.22,1.4,30.09,1.34,1.24,1.47,0.04,1.9,0.18,M3          
82003,16 45 06.38,+33 30 29.9,8.1,251.2765772,33.5082975,102.35,0.88,-39.18,0.72,383.41,0.89,0.63,1.31,0.019,1.51,0.03,K7V         
86057,17 35 13.54,-48 40 55.1,10.13,263.80642798,-48.68197409,102.3,2.21,84.41,2.94,456.02,2.12,2.25,1.543,0.02,2.27,0.01,K5          
81300,16 36 21.18,-02 19 25.8,5.77,249.08826456,-2.32383592,102.27,0.85,455.22,0.86,-307.63,0.8,0.78,0.827,0.012,0.87,0.02,K2V         
72944,14 54 29.07,+16 06 04.9,10.11,223.62112279,16.10135877,101.91,1.67,275.95,1.95,-122.11,1.33,1.62,1.5,0.25,1.93,0.33,M2Ve        
47780,09 44 30.22,-45 46 30.3,10.22,146.12593185,-45.7750887,101.87,13.4,-466.6,14.4,-585.84,13.49,10.24,1.53,0.6,2.32,0.02,M1:         
31635,06 37 11.27,+17 33 50.4,9.63,99.29694468,17.56399483,101.59,2.35,-775.53,3.06,331.8,2.39,2.87,1.48,0.019,1.95,0.11,M1:         
71898,14 42 22.01,+66 03 21.2,10.88,220.59172751,66.05588609,101.34,12.77,-310.62,11.22,-59.22,12.03,10.84,1.615,0.082,2.64,0.2,M3          
102409,20 45 09.34,-31 20 24.1,8.81,311.28891788,-31.34002411,100.59,1.35,280.37,1.58,-360.09,0.98,1.2,1.47,0.29,2.1,0,M1Ve        
8362,01 47 44.06,+63 51 11.2,5.63,26.9336011,63.85310111,100.24,0.68,582.05,0.43,-246.83,0.55,0.38,0.804,0.01,0.81,0,K0V         
85665,17 30 22.71,+05 32 56.8,9.33,262.59462845,5.5491235,100.17,1.3,28.33,1.18,-248.17,0.78,1.07,1.461,0.01,1.9,0.02,M1V...      
