   spec_id                                kic             teff          err_teff           logg          err_logg        feh            err_feh           afe            err_afe       ch              err_ch         nh             err_nh         dnu             err_dnu       numax         err_numax      mass          err_mass         age                       err_age
 20151002-KP192314N471144V03-03-177       10068810      4703.8662109     81.2440338        2.6377699      0.0774279     -0.2597359      0.0537649        0.2066000      0.0277236     -0.2061960      0.0517317     -0.2250810      0.0726087      5.3398499      0.0129800     48.8333092      0.3907800      1.0322911      0.0615635       9.8678000000000008       2.1920999999999999  

 20151002-KP192314N471144V03-03-181       10069045      4661.8984375     96.9101334        2.6613200      0.0774279     -0.0082459      0.0537649        0.0521862      0.0277236     -0.0763527      0.0517317      0.1154820      0.0726087      5.0035000      0.0164000     47.5345497      0.5233400      1.2459702      0.0963402       5.6462800000000000       1.5130399999999999  

 20150914-KP192314N471144B02-04-181       10071179      5038.4306641     84.3357925        3.1202300      0.1353860     -0.2199734      0.0829475        0.0935751      0.0424280     -0.2087900      0.0898567     -0.3071130      0.1063660     10.5172701      0.0225600    117.5513306      0.7897900      1.2011561      0.0646750       5.1021000000000001       1.0310999999999999  

 20151001-KP194045N483045V03-02-145       10078979      4874.5859375     78.2650604        3.2651999      0.0739000     -0.0975217      0.0528595        0.0865513      0.0270528     -0.0916770      0.0579559     -0.1424530      0.0731000     18.0514603      0.0187400    231.8873901      1.4764900      0.9865407      0.0467009      11.7896000000000000       2.3696500000000000  

 20150921-KP193637N444141V04-11-136       10081050      4920.4770508    150.4854889        3.0412199      0.1574800     -0.5017124      0.0913876        0.2103900      0.0479063     -0.4869220      0.1017290     -0.6269060      0.1107930     13.1883602      0.0166700    153.3488617      0.7320900      0.9752101      0.0636357      11.3187000000000000       2.2981500000000001  

 20151001-KP194045N483045V03-05-095       10082360      4569.9760742    110.2155609        2.3585801      0.0660729     -0.2569459      0.0503277        0.0737797      0.0280371     -0.3159930      0.0512672     -0.1700990      0.0730146      2.7986901      0.0165600     22.2734394      0.3013100      1.2515221      0.1256872       5.6117499999999998       2.1289099999999999  

          20150602-NGC6811_2-15-149       10082936      4396.9614258    172.7529907        1.6902699      0.1092860     -0.5314541      0.0622040        0.1990930      0.0348855     -0.4933820      0.0710912     -0.4055870      0.0871241      1.9345300      0.0252300     12.7329702      0.1552700      0.9395597      0.1387583      12.6030000000000000       4.0690499999999998  

          20150602-NGC6811_3-15-133       10083815      4787.4624023    150.6673737        2.2026999      0.1781030     -0.7782529      0.1022510        0.1460600      0.0524965     -0.8884770      0.1138920     -0.9581900      0.1203450      2.6049600      0.0149900     17.9878407      0.3785100      0.9191719      0.1225735      11.0822000000000000       3.8729399999999998  

          20150602-NGC6811_1-15-133       10083995      4979.4951172    104.9965134        3.0421901      0.1320730     -0.2588797      0.0735179        0.0705567      0.0388298     -0.3103380      0.0798254     -0.2999880      0.0943151     10.2391796      0.0168500    114.8873520      0.8347700      1.1967707      0.0718172       5.4853699999999996       1.2203800000000000  

 20130914-KP194045N483045V02-07-112       10087394      4608.1206055    102.6294327        2.8080101      0.0774279      0.1104128      0.0537649        0.0448205      0.0277236      0.0912089      0.0517317      0.2889190      0.0726087      5.9635100      0.0135000     59.1997604      0.4556700      1.1683019      0.0765865       7.7676499999999997       2.0124599999999999  

 20151001-KP194045N483045V04-07-116       10088276      4510.0170898    142.6479950        2.1486900      0.1251670     -0.1335962      0.0685227        0.0986731      0.0374505     -0.1501300      0.0762009     -0.0023212      0.0902485      3.2248800      0.0121400     26.5428295      0.4156200      1.1750842      0.1286447       7.7817699999999999       3.0115799999999999  

  20131025-KP195920N454621V3-16-019       10088999      4589.2451172    127.6447983        2.9568200      0.1274190      0.0704440      0.0695980        0.1124840      0.0376751      0.0879814      0.0767327      0.2667300      0.0907832      9.1688900      0.0164200    100.8235092      0.5105100      1.0202806      0.0653739      13.3118000000000000       3.1671299999999998  

 20151001-KP194045N483045V04-07-067       10089702      4797.4077148    100.1142578        3.0427401      0.1128250     -0.1908074      0.0626289        0.1383080      0.0362189     -0.0899233      0.0732867     -0.0823173      0.0873181     10.5744200      0.0196300    119.7973022      0.7668500      1.0896935      0.0631279       8.9178200000000007       2.0751200000000001  

 20131017-KP195920N454621V03-16-023       10090039      4594.0771484    185.5526123        2.8388300      0.2548600      0.3475487      0.1403698       -0.0462677      0.0676804      0.2611330      0.1467450      0.6322430      0.1566900      7.3137498      0.0161600     82.6954803      0.6385500      1.4175353      0.1312461       4.4687099999999997       1.6903999999999999  

 20151001-KP194045N483045V03-07-195       10090568      4567.1640625    103.8274460        2.7041900      0.0792213      0.4209219      0.0563799        0.0723861      0.0295670      0.4139570      0.0600855      0.6686540      0.0756072      6.7765298      0.0123700     71.4193420      0.6481800      1.2429352      0.0853013       6.7807000000000004       2.2133699999999998  

 20130914-KP194045N483045V02-07-132       10092567      5084.8598633     80.7528152        3.1937399      0.0904610     -0.3703244      0.0604490        0.0770945      0.0328653     -0.3856160      0.0658774     -0.4463380      0.0809532     16.5883999      0.0494400    212.1590576      1.4776100      1.1578635      0.0655779       5.5971599999999997       1.1818700000000000  

 20130925-KP195920N454621V02-15-159       10095409      4841.6538086     89.3104630        2.5959201      0.1015470      0.0026555      0.0612894        0.0377436      0.0332162     -0.1698400      0.0675471      0.1880230      0.0852447      4.1949902      0.0136600     40.1434402      0.6941300      1.6808538      0.1555936       2.1603900000000000       0.6056290000000000  

 20130925-KP195920N454621V02-15-173       10095427      4782.7167969     90.8514938        2.7587500      0.0774279     -0.3311039      0.0537649        0.2521290      0.0277236     -0.2311760      0.0517317     -0.3613790      0.0726087      6.0718899      0.0162200     57.6333809      0.4299700      1.0614533      0.0653434       8.3344100000000001       2.1076500000000000  

 20151003-KP195920N454621V04-15-167       10096476      4968.7563477     74.8768845        3.1004901      0.0791743     -0.0142086      0.0553377       -0.0289974      0.0288069     -0.1495640      0.0596616      0.0964589      0.0748346     10.7051401      0.0241500    131.2438812      1.3758100      1.4858388      0.0937216       3.1016300000000001       0.6338260000000000  

 20140529-KP185111N464417V03-04-038       10120721      5076.5668945    106.9578781        3.1694400      0.1245990     -0.4637617      0.0682515        0.0988630      0.0373938     -0.3946090      0.0760669     -0.6278880      0.0901137     16.4727592      0.0550100    206.1927185      1.7320800      1.0891924      0.0764200       7.2280699999999998       1.7392600000000000  

 20140502-KP185111N464417V01-04-203       10122158      4958.8583984     75.1474609        3.1584401      0.0774279     -0.0435186      0.0537649       -0.0109624      0.0277236     -0.1437040      0.0517317     -0.0497483      0.0726087     14.4040003      0.0169000    186.6801300      1.5816700      1.3209335      0.0698011       4.0286499999999998       0.6856100000000001  

 20140502-KP185111N464417V01-04-202       10122250      4775.8603516     85.9004440        3.1018300      0.0892426      0.1795374      0.0606625        0.0463300      0.0317972      0.1292140      0.0654799      0.3650900      0.0820675     12.8625097      0.0269600    161.7393799      1.0810601      1.2196300      0.0675864       6.7335700000000003       1.3606799999999999  

 20140529-KP185111N464417V03-09-219       10123348      4290.5957031    187.2843933        3.0493801      0.1773990      0.1601380      0.1018544        0.1360020      0.0523415      0.0065718      0.1134630      0.2267910      0.1199760     10.4771204      0.0160100    120.2504578      0.7757900      0.8839976      0.0803922      17.0454000000000010       2.4102500000000000  

 20140529-KP185111N464417V02-09-148       10124179      4443.8310547    167.4553833        1.9144599      0.0802284     -0.5148637      0.0574214        0.2201590      0.0299276     -0.4398210      0.0605180     -0.4263060      0.0739386      2.9721501      0.0238400     22.9304695      0.3160000      1.0072651      0.1308950      11.6366000000000000       4.0914599999999997  

 20140502-KP185111N464417V01-09-131       10124436      4633.6293945    100.0447235        2.6593499      0.0774279      0.0046883      0.0537649        0.0324674      0.0277236     -0.1040820      0.0517317      0.2149720      0.0726087      4.8933401      0.0101200     47.5502892      0.5466800      1.3477230      0.1012809       4.2671799999999998       1.2096199999999999  

 20151002-KP192314N471144V03-10-005       10131515      4830.3876953     94.5958786        3.0020001      0.1118960     -0.1924599      0.0625162        0.2212630      0.0359007     -0.1018160      0.0727594     -0.0970667      0.0872612      9.6456804      0.0147300    104.3729401      0.4747400      1.0456234      0.0513706       9.2541799999999999       1.7847200000000001  

